id,console-name,product-name,loose-price,cib-price,new-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,asin,epid,gamestop-price,gamestop-trade-price
30770,Wii,Hot Wheels: Track Attack,$4.62,$5.98,$20.00,$0.98,$4.89,$1.30,$6.29,$6.30,$20.99,B004391NAU,93179553,$9.99,$1.20
16863,Wii,Hotel For Dogs,$1.99,$5.99,$7.99,,$2.09,$1.30,$6.29,$1.70,$8.39,B001MT4EX2,71320906,$4.99,
21096,Wii,How to Train Your Dragon,$6.99,$8.16,$22.50,$1.46,$7.29,$1.70,$8.59,$7.20,$23.99,B00337KBZG,80169179,$9.99,$2.40
34930,Wii,How to Train Your Dragon 2,$7.50,$9.00,$9.00,$1.58,$7.89,$1.90,$9.49,$1.90,$9.49,B00J6DQI1W,183139331,$9.99,$1.20
31493,Wii,Hyper Fighters,$6.70,$6.99,$43.91,$1.40,$6.99,$1.50,$7.29,$18.40,$45.99,B004FRVDZK,100363568,$4.99,$0.40
21647,Wii,Hysteria Hospital: Emergency Ward,$5.62,$5.99,$7.99,$1.18,$5.89,$1.30,$6.29,$1.70,$8.39,B002DO6P3C,72398061,$4.99,$0.20
31359,Wii,I Love Horses: Rider's Paradise,$12.97,$15.97,$17.99,$2.80,$13.99,$3.40,$16.99,$3.80,$18.99,B00485WFCO,94211325,$19.99,$4.00
37279,Wii,I Spy Game Pack: Ultimate and Spooky Mansion,$3.45,,$9.00,,$3.59,$1.00,$4.99,$1.90,$9.49,B0088I6JEW,,,
30340,Wii,I Spy: Spooky Mansion,$4.00,$4.91,$7.64,$0.84,$4.19,$1.00,$5.19,$1.60,$7.99,B00453W1GE,93195500,$4.99,
11120,Wii,Ice Age 2 The Meltdown,$4.83,$5.50,$19.99,$1.00,$4.99,$1.20,$5.79,$6.30,$20.99,B000JJM7YO,56291389,$4.99,
32907,Wii,Ice Age: Continental Drift Arctic Games,$4.45,$4.99,$10.00,$0.94,$4.69,$1.00,$5.19,$2.20,$10.99,B007VIYQUE,115997623,$4.99,
19352,Wii,Ice Age: Dawn of the Dinosaurs,$5.25,$9.00,$19.99,$1.10,$5.49,$1.90,$9.49,$6.30,$20.99,B001PKHRXW,72415389,$4.99,$0.40
14654,Wii,Igor The Game,$3.47,$7.53,$13.95,,$3.59,$1.60,$7.89,$3.00,$14.99,B0019K2LIE,64151433,$4.99,
15955,Wii,Imagine Party Babyz,$1.99,$2.00,$0.99,,$2.09,$1.00,$4.99,,$1.99,B001DZDUA8,66747519,$4.99,
16346,Wii,Imagine: Fashion Party,$1.25,$3.00,$20.49,,$1.99,$1.00,$4.99,$6.60,$21.99,B001F85SSU,69675214,$4.99,
21639,Wii,Impossible Mission,$2.97,$4.39,$15.95,,$3.09,$1.00,$4.99,$3.40,$16.99,B001KU1ZGM,56545374,$4.99,
19272,Wii,Indiana Jones and the Staff of Kings,$4.74,$5.00,$9.98,$1.00,$4.99,$1.10,$5.29,$2.00,$9.99,B001RERN30,71803775,$4.99,
10548,Wii,Indianapolis 500 Legends,$4.29,$4.50,$4.54,$0.90,$4.49,$1.00,$4.99,$1.00,$4.79,B000SH3XBS,60533493,$4.99,
16045,Wii,Iron Chef America Supreme Cuisine,$3.97,$4.59,$8.00,$0.84,$4.19,$1.00,$4.99,$1.70,$8.39,B000SH3XI6,65785610,$4.99,
13905,Wii,Iron Man,$3.99,$5.81,$12.99,$0.84,$4.19,$1.20,$6.09,$2.80,$13.99,B00114XU6A,56572278,$4.99,$0.40
21271,Wii,Iron Man 2,$2.00,$5.77,$5.00,,$2.09,$1.20,$6.09,$1.10,$5.29,B002WDL51Q,72426658,$9.99,$0.80
21943,Wii,Ivy the Kiwi,$40.00,$60.00,$89.99,$16.80,$41.99,$25.20,$62.99,$37.60,$93.99,B003M31RN6,80854478,$19.99,$4.00
19748,Wii,JU-ON: The Grudge,$32.59,$33.00,$64.99,$10.20,$33.99,$10.50,$34.99,$27.20,$67.99,B002DC8GVS,72681979,$34.99,$9.60
31149,Wii,JaJa's Adventure,$5.78,$9.99,$12.99,$1.22,$6.09,$2.00,$9.99,$2.80,$13.99,B0029MAXTK,78382558,$9.99,$0.40
20020,Wii,Jambo! Safari Animal Rescue,$7.94,$11.65,$30.00,$1.66,$8.29,$2.40,$11.99,$9.60,$31.99,B002D180KG,73353542,$4.99,
32366,Wii,Jaws: Ultimate Predator,$6.30,$10.64,$20.00,$1.32,$6.59,$2.20,$10.99,$6.30,$20.99,B0056BE0SG,103059108,$9.99,$2.00
14424,Wii,Jeep Thrills,$2.50,$4.99,$5.00,,$2.59,$1.00,$5.19,$1.10,$5.29,B000WWNRHY,66086347,$4.99,
21667,Wii,Jelly Belly: Ballistic Beans,$4.00,$4.47,$9.85,$0.84,$4.19,$1.00,$4.99,$2.00,$9.99,B001PA0FD6,72406445,$4.99,
10881,Wii,Jenga,$2.88,$4.49,$6.50,,$2.99,$1.00,$4.99,$1.40,$6.79,B000TYFB56,61375798,$4.99,
30653,Wii,Jeopardy,$6.45,$6.74,$17.01,$1.36,$6.79,$1.40,$7.09,$3.60,$17.99,B003S2JI82,92881274,$9.99,$1.00
30921,Wii,Jewel Quest Trilogy,$8.69,$10.50,$11.99,$1.82,$9.09,$2.20,$10.99,$2.60,$12.99,B0045ILJ2Q,101689527,$4.99,$0.16
15777,Wii,Jillian Michaels' Fitness Ultimatum 2009,$2.23,$3.47,$4.03,,$2.29,$1.00,$4.99,$0.80,$4.19,B001DDBBSS,66959205,$4.99,
19718,Wii,Jillian Michaels' Fitness Ultimatum 2010,$4.00,$4.90,$3.99,$0.84,$4.19,$1.00,$5.19,$0.80,$4.19,B002ECN43C,73292616,$4.99,
32943,Wii,Jillian Michaels' Fitness Ultimatum 2011,$2.36,$3.25,$7.75,,$2.49,$1.00,$4.99,$1.60,$8.09,B003WTWJUK,93690770,$4.99,
31847,Wii,Jimmie Johnson's Anything with an Engine,$0.99,$3.60,$11.95,,$1.99,$1.00,$4.99,$2.60,$12.99,B0050SVGGE,97373313,$4.99,
